run_dir,scenario,bench_replica_count,replicas_in_bundle,sut,workload,load_mode,target_rps_per_replica,open_loop,total_achieved_rps_sum,total_successful_rps_sum,total_error_rps_sum,total_completed_rps_sum,total_attempted_rps_sum,total_requests,total_successful_requests,total_failed_requests,aggregate_error_rate,top_error_types,median_replica_p50_ms,median_replica_p95_ms,median_replica_p99_ms,median_replica_p999_ms,proxy_service_cpu_aligned_peak_pct,proxy_service_cpu_legacy_peak_sum_pct,comparison_label,comparison_path_resolved,latency_percentiles_source,merged_p50_ms,merged_p95_ms,merged_p99_ms,merged_p999_ms,hdr_unit_divisor
hikari-prod-20260522-142122,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,5,True,1.6838037070230425,1.6838037070230425,14.580843933051149,16.26464764007419,15.987487436525425,36677,3797,32880,0.8964746298770346,SQLTransientConnectionException:32880,27435.006999999998,60030.975,60030.975,60588.031,,,Hikari A,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260522-142122,summary_json_median,,,,,
hikari-prod-20260522-182632,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,5,True,2.3866813224083243,2.3866813224083243,13.868206674450406,16.254887996858727,15.9772844015853,36655,5382,31273,0.8531714636475242,SQLTransientConnectionException:31273,27525.119,60030.975,60030.975,60030.975,,,Hikari B,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260522-182632,summary_json_median,,,,,
hikari-prod-20260522-223046,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,5,True,2.5698298862735576,2.5698298862735576,13.680630757244028,16.250460643517584,15.972413463995782,36645,5795,30850,0.8418610997407558,SQLTransientConnectionException:30850,27697.150999999998,60030.975,60030.975,60030.975,,,Hikari C,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260522-223046,summary_json_median,,,,,
hikari-prod-20260523-023454,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,5,True,2.4292529683712454,2.4292529683712454,13.826963594635634,16.256216563006877,15.975508802856815,36658,5478,31180,0.8505646789241094,SQLTransientConnectionException:31180,27959.295,60030.975,60030.975,60030.975,,,Hikari D,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260523-023454,summary_json_median,,,,,
hikari-prod-20260523-063906,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,5,True,2.467831990332642,2.467831990332642,13.777289166413958,16.2451211567466,15.971065389062309,36633,5565,31068,0.8480877896978134,SQLTransientConnectionException:31068,27860.991,60030.975,60030.975,60030.975,,,Hikari E,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260523-063906,summary_json_median,,,,,
ojp-prod-20260522-162536,ojp-prod,4,4,OJP,W5_HTAP,open-loop,5,True,2.0018512058729936,2.0018512058729936,14.185073194400593,16.186924400273586,16.18152899843727,36016,4454,31562,0.8763327410039983,SQLTransientException:23757; StatusRuntimeException:3980; SQLException:3825,12.263,9396.223,42876.926999999996,60030.975,382.5,590.1800000000001,OJP A,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260522-162536,summary_json_median,,,,,
ojp-prod-20260522-202927,ojp-prod,4,4,OJP,W5_HTAP,open-loop,5,True,0.8137389518101626,0.8137389518101626,15.166142406779285,15.979881358589447,15.96613427002897,36035,1835,34200,0.9490772859719717,SQLTransientException:24758; SQLException:5361; StatusRuntimeException:4081,10.263000000000002,29655.039,60030.975,63815.679000000004,361.78,587.2,OJP B,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260522-202927,summary_json_median,,,,,
ojp-prod-20260523-003408,ojp-prod,4,4,OJP,W5_HTAP,open-loop,5,True,2.0547636525489383,2.0547636525489383,14.101815964233538,16.15657961678248,16.143574630293884,36033,4582,31451,0.8728387866677768,SQLTransientException:24744; SQLException:3711; StatusRuntimeException:2996,12.371,8445.951,38535.167,61521.918999999994,246.31,588.37,OJP C,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260523-003408,summary_json_median,,,,,
ojp-prod-20260523-043757,ojp-prod,4,4,OJP,W5_HTAP,open-loop,5,True,1.0221619739553431,1.0221619739553431,14.951500395215305,15.973662369170649,15.966123649694392,36021,2305,33716,0.9360095499847312,SQLTransientException:24836; SQLException:4953; StatusRuntimeException:3927,12.499,29769.727,59654.143,63782.911,391.4,590.52,OJP D,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260523-043757,summary_json_median,,,,,
ojp-prod-20260523-084203,ojp-prod,4,4,OJP,W5_HTAP,open-loop,5,True,3.3210245089450123,3.3210245089450123,12.651289788716598,15.972314297661612,15.966105949225721,36018,7489,28529,0.7920761841301571,SQLTransientException:25960; SQLException:1636; StatusRuntimeException:933,11.195,115.455,17915.903,40058.879,392.47,589.8,OJP E,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260523-084203,summary_json_median,,,,,
