run_dir,scenario,bench_replica_count,replicas_in_bundle,sut,workload,load_mode,target_rps_per_replica,open_loop,total_achieved_rps_sum,total_successful_rps_sum,total_error_rps_sum,total_completed_rps_sum,total_attempted_rps_sum,total_requests,total_successful_requests,total_failed_requests,aggregate_error_rate,top_error_types,median_replica_p50_ms,median_replica_p95_ms,median_replica_p99_ms,median_replica_p999_ms,proxy_service_cpu_aligned_peak_pct,proxy_service_cpu_legacy_peak_sum_pct,proxy_host_cpu_aligned_peak_pct,postgres_cpu_pct_peak,postgres_cpu_pct_mean,postgres_rss_mb_peak,postgres_rss_mb_mean,bench_cpu_sum_pct,proxy_rss_mb_aligned_peak,total_cpu_pct,total_rss_mb_peak,comparison_label,comparison_path_resolved,latency_percentiles_source,merged_p50_ms,merged_p95_ms,merged_p99_ms,merged_p999_ms,hdr_unit_divisor
hikari-prod-20260530-072816,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,1.3389142864472068,1.3389142864472068,0.0,1.3389142864472068,1.3337329043960706,1809,1809,0,0.0,,5.427,12120.063,33243.134999999995,48480.255000000005,,,,205.98,35.341813842482104,23481.71,7154.542649164678,0.2503755633450175,0.0,206.230375563345,23481.71,Hikari A,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-072816,summary_json_median,,,,,
hikari-prod-20260530-090608,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,1.3410268665063616,1.3410268665063616,0.0,1.3410268665063616,1.3358373290103867,1809,1809,0,0.0,,5.119,11714.559000000001,33161.215,46809.087,,,,205.27,35.088066825775655,19201.79,6700.880596658711,0.2504007013025049,0.0,205.52040070130252,19201.79,Hikari B,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-090608,summary_json_median,,,,,
hikari-prod-20260530-104355,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,1.339755602803283,1.339755602803283,0.0,1.339755602803283,1.3345709863251716,1809,1809,0,0.0,,5.0169999999999995,11390.974999999999,31531.006999999998,48594.943,,,,204.21,33.903937947494036,18098.93,6583.615584725536,0.30022533800701046,0.0,204.51022533800702,18098.93,Hikari C,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-104355,summary_json_median,,,,,
hikari-prod-20260530-122211,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,1.3395429449691376,1.3395429449691376,0.0,1.3395429449691376,1.3343592924185592,1809,1809,0,0.0,,5.689,11792.383,33382.399,48496.639,,,,211.76,34.84397129186603,18137.93,6671.114521531101,0.30030037552576994,0.0,212.06030037552577,18137.93,Hikari D,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-122211,summary_json_median,,,,,
hikari-prod-20260530-140004,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,1.3411285514514977,1.3411285514514977,0.0,1.3411285514514977,1.3359387028218044,1809,1809,0,0.0,,5.276999999999999,11685.886999999999,31834.110999999997,46514.175,,,,206.01,34.54645390070922,18880.29,6768.634704491727,0.2502502502502503,0.0,206.26025025025024,18880.29,Hikari E,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-140004,summary_json_median,,,,,
hikari-prod-20260530-153743,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,1.9453710097932713,1.9453710097932713,3.446465161671711,5.391836171464982,5.315084041722878,7306,2636,4670,0.6392006569942513,SQLTransientConnectionException:4670,5236.159,60030.975,60030.975,60030.975,,,,223.67,160.84414201183432,124033.08,58249.231005917165,0.25017513761885946,0.0,223.92017513761886,124033.08,Hikari F,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-153743,summary_json_median,,,,,
hikari-prod-20260530-171721,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,2.1977674041958815,2.1977674041958815,3.2361348382677773,5.433902242463659,5.3209880528342275,7363,2978,4385,0.5955452940377564,SQLTransientConnectionException:4385,12959.743,60030.975,60030.975,60030.975,,,,224.26,151.0455,103518.2,46866.60038888889,0.2502502502502503,0.0,224.51025025025024,103518.2,Hikari G,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-171721,summary_json_median,,,,,
hikari-prod-20260530-185648,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,2.067142650687485,2.067142650687485,3.3556935789927063,5.422836229680191,5.320991979732252,7348,2801,4547,0.6188078388677191,SQLTransientConnectionException:4547,10403.839,60030.975,60030.975,60030.975,,,,210.64,154.05158192090397,120482.13,55166.19740112995,0.2502502502502503,0.0,210.89025025025023,120482.13,Hikari H,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-185648,summary_json_median,,,,,
hikari-prod-20260530-203621,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,1.9365149103401094,1.9365149103401094,3.4841033103908883,5.420618220730997,5.317298045889634,7345,2624,4721,0.6427501701837985,SQLTransientConnectionException:4705; SQLException:16,7527.294999999999,60030.975,60030.975,62914.558999999994,,,,220.23,152.18085227272726,111642.79,50006.127499999995,0.2502502502502503,0.0,220.48025025025024,111642.79,Hikari I,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-203621,summary_json_median,,,,,
hikari-prod-20260530-221622,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,2.0176957875009607,2.0176957875009607,3.3948064325991574,5.412502220100118,5.315086002994752,7334,2734,4600,0.6272157076629398,SQLTransientConnectionException:4598; SQLException:2,4613.887000000001,60030.975,60030.975,60030.975,,,,221.67,156.39839080459768,115541.09,50281.698218390804,0.2503755633450175,0.0,221.920375563345,115541.09,Hikari J,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-221622,summary_json_median,,,,,
hikari-prod-20260530-235628,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,2.086328437412819,2.086328437412819,8.937190144632279,11.023518582045096,10.66485017390682,14937,2827,12110,0.8107384347593225,SQLTransientConnectionException:12110,27803.646999999997,60030.975,60030.975,60030.975,,,,213.72,179.5334306569343,116256.06,75877.14182481752,0.30045097736838344,0.0,214.02045097736837,116256.06,Hikari K,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-235628,summary_json_median,,,,,
