label,run_dir,scenario,workload,technology,per_node_rps,aggregate_rps,load_source,successful_rps,completed_rps,error_rps,attempted_rps,offered_rps,error_rate_pct,p95_latency_ms,p99_latency_ms,postgres_backend_connections,rps_per_db_connection,postgres_cpu_pct_avg,postgres_rss_mib,proxy_tier_cpu_pct,proxy_tier_rss_mib,duration_seconds,error_count_sqltransientexception,error_count_sqltransientconnectionexception,error_count_statusruntimeexception,error_count_sqlexception,error_count_timeout,error_count_connection_acquisition_failure,error_count_admission_control_failure,error_count_other,repetition,repetition_count
Hikari A,hikari-prod-20260530-072816,hikari-prod,W5_HTAP,HikariCP,0.5,1.0,runInfo.targetRps_aggregate,1.3389142864472068,1.3389142864472068,0.0,1.3337329043960706,1.0,0.0,12120.063,33243.134999999995,39.0,0.03433113554992838,35.341813842482104,7154.542649164678,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari B,hikari-prod-20260530-090608,hikari-prod,W5_HTAP,HikariCP,0.5,1.0,runInfo.targetRps_aggregate,1.3410268665063616,1.3410268665063616,0.0,1.3358373290103867,1.0,0.0,11714.559000000001,33161.215,39.0,0.03438530426939389,35.088066825775655,6700.880596658711,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari C,hikari-prod-20260530-104355,hikari-prod,W5_HTAP,HikariCP,0.5,1.0,runInfo.targetRps_aggregate,1.339755602803283,1.339755602803283,0.0,1.3345709863251716,1.0,0.0,11390.974999999999,31531.006999999998,39.0,0.034352707764186745,33.903937947494036,6583.615584725536,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari D,hikari-prod-20260530-122211,hikari-prod,W5_HTAP,HikariCP,0.5,1.0,runInfo.targetRps_aggregate,1.3395429449691376,1.3395429449691376,0.0,1.3343592924185592,1.0,0.0,11792.383,33382.399,39.0,0.034347254999208654,34.84397129186603,6671.114521531101,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari E,hikari-prod-20260530-140004,hikari-prod,W5_HTAP,HikariCP,0.5,1.0,runInfo.targetRps_aggregate,1.3411285514514977,1.3411285514514977,0.0,1.3359387028218044,1.0,0.0,11685.886999999999,31834.110999999997,39.0,0.03438791157567943,34.54645390070922,6768.634704491727,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
Hikari F,hikari-prod-20260530-153743,hikari-prod,W5_HTAP,HikariCP,2.0,4.0,runInfo.targetRps_aggregate,1.9453710097932713,5.391836171464982,3.446465161671711,5.315084041722878,4.0,63.92006569942513,60030.975,60030.975,84.0,0.023159178688015133,160.84414201183432,58249.231005917165,0.0,0.0,900.0,0.0,4670.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari G,hikari-prod-20260530-171721,hikari-prod,W5_HTAP,HikariCP,2.0,4.0,runInfo.targetRps_aggregate,2.1977674041958815,5.433902242463659,3.2361348382677773,5.3209880528342275,4.0,59.55452940377563,60030.975,60030.975,84.0,0.026163897668998588,151.0455,46866.60038888889,0.0,0.0,900.0,0.0,4385.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari H,hikari-prod-20260530-185648,hikari-prod,W5_HTAP,HikariCP,2.0,4.0,runInfo.targetRps_aggregate,2.067142650687485,5.422836229680191,3.3556935789927063,5.320991979732252,4.0,61.88078388677191,60030.975,60030.975,84.0,0.024608841079612913,154.05158192090397,55166.19740112995,0.0,0.0,900.0,0.0,4547.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari I,hikari-prod-20260530-203621,hikari-prod,W5_HTAP,HikariCP,2.0,4.0,runInfo.targetRps_aggregate,1.9365149103401094,5.420618220730997,3.4841033103908883,5.317298045889634,4.0,64.27501701837986,60030.975,60030.975,84.0,0.023053748932620348,152.18085227272726,50006.127499999995,0.0,0.0,900.0,0.0,4705.0,0.0,16.0,0.0,0.0,0.0,0.0,4,5
Hikari J,hikari-prod-20260530-221622,hikari-prod,W5_HTAP,HikariCP,2.0,4.0,runInfo.targetRps_aggregate,2.0176957875009607,5.412502220100118,3.3948064325991574,5.315086002994752,4.0,62.72157076629398,60030.975,60030.975,84.0,0.024020187946440008,156.39839080459768,50281.698218390804,0.0,0.0,900.0,0.0,4598.0,0.0,2.0,0.0,0.0,0.0,0.0,5,5
