run_dir,scenario,bench_replica_count,replicas_in_bundle,sut,workload,load_mode,target_rps_per_replica,open_loop,total_achieved_rps_sum,total_successful_rps_sum,total_error_rps_sum,total_completed_rps_sum,total_attempted_rps_sum,total_requests,total_successful_requests,total_failed_requests,aggregate_error_rate,top_error_types,median_replica_p50_ms,median_replica_p95_ms,median_replica_p99_ms,median_replica_p999_ms,proxy_service_cpu_aligned_peak_pct,proxy_service_cpu_legacy_peak_sum_pct,proxy_host_cpu_aligned_peak_pct,postgres_cpu_pct_peak,postgres_cpu_pct_mean,postgres_rss_mb_peak,postgres_rss_mb_mean,bench_cpu_sum_pct,proxy_rss_mb_aligned_peak,total_cpu_pct,total_cpu_mean_pct,total_cpu_p95_pct,total_rss_mb_peak,total_rss_mb_mean,total_rss_mb_p95,comparison_label,comparison_path_resolved,latency_percentiles_source,merged_p50_ms,merged_p95_ms,merged_p99_ms,merged_p999_ms,hdr_unit_divisor
hikari-prod-20260701-105207,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,3.5309015272630533,3.5309015272630533,0.0,3.5309015272630533,3.5309015272630533,3604,3604,0,0.0,,1.8615,512.895,6062.079,10932.223,,,,271.08,18.341934640522872,9332.29,4118.812091503268,0.4505758889963766,0.0,271.53057588899634,18.792510529519248,111.46057588899636,9332.29,4118.812091503268,6112.139999999999,Hikari A,/home/rogerio/Projects/stressum/results/hikari-prod-20260701-105207,summary_json_median,,,,,
hikari-prod-20260701-122657,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,3.5299366706476425,3.5299366706476425,0.0,3.5299366706476425,3.5299366706476425,3604,3604,0,0.0,,2.0315000000000003,544.255,7694.335000000001,12718.079,,,,279.84,18.731120000000004,9040.82,4125.7118,0.4508015783197726,0.0,280.29080157831976,19.181921578319777,125.38880157831974,9040.82,4125.7118,6044.782999999999,Hikari B,/home/rogerio/Projects/stressum/results/hikari-prod-20260701-122657,summary_json_median,,,,,
hikari-prod-20260701-135942,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,3.5321530642095365,3.5321530642095365,0.0,3.5321530642095365,3.5292151749915366,3607,3607,0,0.0,,2.2439999999999998,566.7829999999999,7856.127,13398.015,,,,246.39,20.17789181692094,9885.52,4092.0526074895974,0.5004506008261642,0.0,246.89045060082614,20.678342417747103,140.85045060082615,9885.52,4092.0526074895974,6102.05,Hikari C,/home/rogerio/Projects/stressum/results/hikari-prod-20260701-135942,summary_json_median,,,,,
hikari-prod-20260701-153257,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,3.5334393612671713,3.5334393612671713,0.0,3.5334393612671713,3.530500341026262,3607,3607,0,0.0,,2.0235,527.999,6432.767,11657.215,,,,263.51,19.965181695827727,9085.9,4128.670619111709,0.4008518289712256,0.0,263.9108518289712,20.366033524798954,128.62585182897118,9085.9,4128.670619111709,6142.976,Hikari D,/home/rogerio/Projects/stressum/results/hikari-prod-20260701-153257,summary_json_median,,,,,
hikari-prod-20260701-170624,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,3.53046656917412,3.53046656917412,0.0,3.53046656917412,3.53046656917412,3604,3604,0,0.0,,1.854,525.439,6891.519,11673.598999999998,,,,292.55,18.556291390728475,8860.74,4135.210834437085,0.5006762150369288,0.0,293.05067621503696,19.056967605765404,128.05067621503687,8860.74,4135.210834437085,6096.533999999999,Hikari E,/home/rogerio/Projects/stressum/results/hikari-prod-20260701-170624,summary_json_median,,,,,
hikari-prod-20260701-183858,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,13.670957225991655,13.670957225991655,0.0,13.670957225991655,13.652947921616722,14423,14423,0,0.0,,14.747,23543.807,77398.015,150732.799,,,,313.74,106.12566160520609,43740.11,11925.19147505423,0.8008008008008007,0.0,314.5408008008008,106.92646240600689,278.1508008008008,43740.11,11925.19147505423,43566.95,Hikari F,/home/rogerio/Projects/stressum/results/hikari-prod-20260701-183858,summary_json_median,,,,,
hikari-prod-20260701-201254,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,13.617896536955701,13.617896536955701,0.05308012578704184,13.670976662742746,13.652967333211622,14423,14367,56,0.003882687374332663,SQLTransientConnectionException:56,19.942999999999998,29007.871,99614.719,168951.807,,,,301.25,108.89519015659955,45682.49,12606.58756152125,0.750726289334051,0.0,302.00072628933407,109.64591644593361,279.550726289334,45682.49,12606.58756152125,42665.901,Hikari G,/home/rogerio/Projects/stressum/results/hikari-prod-20260701-201254,summary_json_median,,,,,
hikari-prod-20260701-214638,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,13.670947504954583,13.670947504954583,0.0,13.670947504954583,13.652938215853005,14423,14423,0,0.0,,12.535,22798.335,71286.783,135331.839,,,,302.51,104.3419603524229,41259.09,11761.202378854627,0.8010017029552343,0.0,303.31100170295525,105.14296205537813,275.3435017029553,41259.09,11761.202378854627,41238.64,Hikari H,/home/rogerio/Projects/stressum/results/hikari-prod-20260701-214638,summary_json_median,,,,,
hikari-prod-20260701-232009,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,13.742818900818516,13.742818900818516,0.0,13.742818900818516,13.725668335022732,14422,14422,0,0.0,,9.079,13565.951000000001,47693.823,94502.911,,,,346.69,98.04903353057199,24504.17,9653.046548323473,0.7012271914886358,0.0,347.3912271914886,98.75026072206063,267.4072271914886,24504.17,9653.046548323473,24411.77,Hikari I,/home/rogerio/Projects/stressum/results/hikari-prod-20260701-232009,summary_json_median,,,,,
hikari-prod-20260702-005333,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,13.670970183214475,13.670970183214475,0.0,13.670970183214475,13.652960862667722,14423,14423,0,0.0,,10.955,18759.679,61358.079,124682.239,,,,315.71,102.61241735537192,42530.51,11003.861363636363,0.7008013024548346,0.0,316.4108013024548,103.31321865782675,274.83530130245475,42530.51,11003.861363636363,42510.07,Hikari J,/home/rogerio/Projects/stressum/results/hikari-prod-20260702-005333,summary_json_median,,,,,
hikari-prod-20260702-022656,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,12.505115475262086,12.505115475262086,15.769544933021468,28.27466040828355,27.302156167977692,29830,13193,16637,0.5577271203486424,SQLTransientConnectionException:16637,28721.151,88014.847,208076.799,217841.663,,,,307.38,124.07276923076924,43294.41,18765.109564102568,0.7511770414018523,0.0,308.1311770414018,124.82394627217109,263.4661770414018,43294.41,18765.109564102568,41731.099999999926,Hikari K,/home/rogerio/Projects/stressum/results/hikari-prod-20260702-022656,summary_json_median,,,,,
hikari-prod-20260702-040104,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,12.579045319661734,12.579045319661734,15.627362518477177,28.20640783813891,27.302149698326097,29758,13271,16487,0.5540358895087035,SQLTransientConnectionException:16487,28590.079,87719.935,210501.631,221511.679,,,,296.22,126.63072164948454,44710.24,19046.777809278352,0.7512775930810494,0.0,296.9712775930811,127.3819992425656,262.621277593081,44710.24,19046.777809278352,42111.52,Hikari L,/home/rogerio/Projects/stressum/results/hikari-prod-20260702-040104,summary_json_median,,,,,
hikari-prod-20260702-053431,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,13.555344304866384,13.555344304866384,14.695619614118405,28.250963918984787,27.30120830786668,29805,14301,15504,0.5201811776547559,SQLTransientConnectionException:15504,28647.423000000003,86310.911,199884.799,211288.06300000002,,,,299.2,122.642575,42878.29,18545.361350000003,0.7514781947858628,0.0,299.95147819478586,123.39405319478585,263.20197819478585,42878.29,18545.361350000003,42147.93549999997,Hikari M,/home/rogerio/Projects/stressum/results/hikari-prod-20260702-053431,summary_json_median,,,,,
hikari-prod-20260702-070818,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,12.854878825563407,12.854878825563407,15.431162607297765,28.28604143286117,27.302162637629287,29842,13562,16280,0.54553984317405,SQLTransientConnectionException:16280,28778.495000000003,88276.99100000001,207224.831,217776.12699999998,,,,299.01,123.39783854166667,42574.71,18478.565078125,0.8017036579424512,0.0,299.8117036579424,124.19954219960913,259.6457036579424,42574.71,18478.565078125,41043.02349999999,Hikari N,/home/rogerio/Projects/stressum/results/hikari-prod-20260702-070818,summary_json_median,,,,,
hikari-prod-20260702-084143,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,12.58663737989588,12.58663737989588,15.687088573881846,28.273725953777724,27.302169107293146,29829,13279,16550,0.5548291930671494,SQLTransientConnectionException:16550,28671.999,89030.655,209780.735,220266.495,,,,305.67,124.97736979166666,43099.48,19083.146562500002,0.7017043113307859,0.0,306.3717043113308,125.67907410299745,261.53520431133074,43099.48,19083.146562500002,43085.7025,Hikari O,/home/rogerio/Projects/stressum/results/hikari-prod-20260702-084143,summary_json_median,,,,,
hikari-prod-20260702-101524,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,12,True,12.934490039298186,12.934490039298186,29.456627570147702,42.39111760944589,40.951319124137385,44723,13646,31077,0.6948773561702033,SQLTransientConnectionException:31077,29499.391,89849.855,199426.047,218955.775,,,,307.54,144.6773641304348,44845.06,19490.25364130435,0.8020051132851193,0.0,308.34200511328515,145.4793692437199,265.5125051132851,44845.06,19490.25364130435,44491.28349999998,Hikari P,/home/rogerio/Projects/stressum/results/hikari-prod-20260702-101524,summary_json_median,,,,,
hikari-prod-20260702-114922,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,12,True,13.24633574449891,13.24633574449891,29.145729724178597,42.392065468677515,40.95131912415578,44724,13975,30749,0.687527949199535,SQLTransientConnectionException:30749,29499.391,89096.19099999999,203948.03100000002,214958.079,,,,312.87,140.98774798927613,42421.96,19802.71262734584,0.9016533827822977,0.0,313.7716533827823,141.88940137205842,265.88365338278226,42421.96,19802.71262734584,42401.46,Hikari Q,/home/rogerio/Projects/stressum/results/hikari-prod-20260702-114922,summary_json_median,,,,,
hikari-prod-20260702-132317,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,12,True,12.5686221386375,12.5686221386375,29.82251556167757,42.39113770031507,40.95133853219373,44723,13260,31463,0.7035082619681149,SQLTransientConnectionException:31463,29450.239,90505.215,210173.951,220921.85499999998,,,,307.32,142.55195187165776,42015.54,19624.4957486631,0.9012528572697054,0.0,308.2212528572697,143.45320472892746,265.6792528572697,42015.54,19624.4957486631,41974.6,Hikari R,/home/rogerio/Projects/stressum/results/hikari-prod-20260702-132317,summary_json_median,,,,,
hikari-prod-20260702-145657,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,12,True,13.089944981374437,13.089944981374437,29.30214057815321,42.392085559527644,40.95133853219373,44724,13810,30914,0.6912172435381451,SQLTransientConnectionException:30914,29515.775,88997.887,208601.087,218955.775,,,,306.23,139.2366842105263,41117.27,19365.70797368421,0.9013021037069133,0.0,307.13130210370696,140.13798631423322,259.13880210370695,41117.27,19365.70797368421,40055.52,Hikari S,/home/rogerio/Projects/stressum/results/hikari-prod-20260702-145657,summary_json_median,,,,,
hikari-prod-20260702-163227,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,12,True,13.128801376436535,13.128801376436535,29.263264092240973,42.392065468677515,40.95131912415578,44724,13851,30873,0.6903005097933995,SQLTransientConnectionException:30873,29433.855,87719.935,206372.863,216334.33500000002,,,,322.5,142.94875331564987,42323.8,19979.6049602122,0.9012526313281954,0.0,323.4012526313282,143.85000594697806,260.11125263132817,42323.8,19979.6049602122,42226.35,Hikari T,/home/rogerio/Projects/stressum/results/hikari-prod-20260702-163227,summary_json_median,,,,,
ojp-prod-20260701-115535,ojp-prod,4,4,OJP,W5_HTAP,open-loop,1,True,3.529906356746405,3.529906356746405,0.0009796055911968724,3.5308859623376017,3.5308859623376017,3604,3603,1,0.0002774694783573807,StatusRuntimeException:1,6.0489999999999995,1629.183,5953.535,9887.742999999999,174.57,426.95,186.21,314.1,23.18539697542533,8666.04,3609.7710586011344,0.800650725913733,643.15,489.47065072591374,27.796387095278458,156.27165072591373,9309.19,4222.282446479922,5889.4385,OJP A,/home/rogerio/Projects/stressum/results/ojp-prod-20260701-115535,summary_json_median,,,,,
ojp-prod-20260701-132858,ojp-prod,4,4,OJP,W5_HTAP,open-loop,1,True,3.528061674941041,3.528061674941041,0.002939332213528329,3.5310010071545697,3.5310010071545697,3604,3601,3,0.000832408435072142,StatusRuntimeException:3,6.459,1455.615,6195.1990000000005,10846.207,199.48,448.7099999999999,210.26,314.81,22.372406367041197,8544.95,3617.308520599251,0.8009511765145214,651.0999999999999,515.0909511765145,27.02047269507087,160.9444511765144,9196.050000000001,4229.608647871978,5687.523,OJP B,/home/rogerio/Projects/stressum/results/ojp-prod-20260701-132858,summary_json_median,,,,,
ojp-prod-20260701-150149,ojp-prod,4,4,OJP,W5_HTAP,open-loop,1,True,3.5270836231181097,3.5270836231181097,0.002938597038751584,3.530022220156861,3.530022220156861,3604,3601,3,0.000832408435072142,StatusRuntimeException:3,6.445,1921.0230000000001,6899.710999999999,10928.127,226.78,485.1,236.58,292.23,24.832032442748094,8656.68,3657.004704198473,0.8008009011014268,649.52,519.8108009011014,29.57073510249112,185.68780090110133,9306.2,4275.692751499868,5828.4995,OJP C,/home/rogerio/Projects/stressum/results/ojp-prod-20260701-150149,summary_json_median,,,,,
ojp-prod-20260701-163521,ojp-prod,4,4,OJP,W5_HTAP,open-loop,1,True,3.5309006703890153,3.5309006703890153,0.0,3.5309006703890153,3.5309006703890153,3604,3604,0,0.0,,6.209,1527.8069999999998,5564.415,9381.886999999999,284.24,379.86,298.03,326.44,20.56138090824838,8264.54,3629.199138090825,0.801001502504433,659.33,611.4810015025045,25.21464907741948,152.1330015025044,8923.87,4256.3977380908245,5816.185,OJP D,/home/rogerio/Projects/stressum/results/ojp-prod-20260701-163521,summary_json_median,,,,,
ojp-prod-20260701-180805,ojp-prod,4,4,OJP,W5_HTAP,open-loop,1,True,3.523117042550837,3.523117042550837,0.005875151129273313,3.5289921936801103,3.5289921936801103,3604,3598,6,0.001664816870144284,StatusRuntimeException:5; SQLException:1,6.497,2099.7110000000002,7374.847,12062.719000000001,183.35999999999999,450.96000000000004,197.20000000000002,327.26,26.830398832684825,8750.59,3658.36656614786,0.8010013017524282,660.68,511.4210013017524,31.554565689319,201.65650130175237,9411.27,4277.927130126029,6419.802999999999,OJP E,/home/rogerio/Projects/stressum/results/ojp-prod-20260701-180805,summary_json_median,,,,,
ojp-prod-20260701-194147,ojp-prod,4,4,OJP,W5_HTAP,open-loop,4,True,12.82412445558031,12.82412445558031,1.1078795981539367,13.932004053734246,13.901123678424453,14436,13288,1148,0.07952341368800221,StatusRuntimeException:582; SQLTransientException:398; SQLException:168,6.503,5314.558999999999,15114.239000000001,30646.271,312.76,459.12,329.51,347.06,108.54607538802661,10389.7,5349.831951219512,1.503181802200893,681.54,661.3231818022009,115.87240845073171,310.2476818022008,11071.240000000002,5998.024016045442,9085.836,OJP F,/home/rogerio/Projects/stressum/results/ojp-prod-20260701-194147,summary_json_median,,,,,
ojp-prod-20260701-211540,ojp-prod,4,4,OJP,W5_HTAP,open-loop,4,True,12.900211402473438,12.900211402473438,1.1139936372490495,14.014205039722489,13.976375161750667,14443,13295,1148,0.07948487156407949,StatusRuntimeException:902; SQLException:217; SQLTransientException:29,6.154999999999999,5101.567,13484.030999999999,32374.783000000003,304.51,458.29999999999995,336.55999999999995,355.44,106.82504366812226,10530.59,5307.58557860262,1.5020034821159058,671.1700000000001,661.452003482116,114.16350147716125,310.1945034821159,11201.76,5946.740837016082,9120.53,OJP G,/home/rogerio/Projects/stressum/results/ojp-prod-20260701-211540,summary_json_median,,,,,
