label,run_dir,scenario,workload,technology,per_node_rps,aggregate_rps,load_source,successful_rps,completed_rps,error_rps,attempted_rps,offered_rps,error_rate_pct,p95_latency_ms,p99_latency_ms,postgres_backend_connections,rps_per_db_connection,postgres_cpu_pct_avg,postgres_rss_mib,proxy_tier_cpu_pct,proxy_tier_rss_mib,duration_seconds,ojp_heap_used_mib,ojp_heap_committed_mib,ojp_heap_max_mib,ojp_heap_utilisation_percent,error_count_sqltransientexception,error_count_sqltransientconnectionexception,error_count_statusruntimeexception,error_count_sqlexception,error_count_timeout,error_count_connection_acquisition_failure,error_count_admission_control_failure,error_count_other,repetition,repetition_count
Hikari A,hikari-prod-20260701-105207,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,3.5309015272630533,3.5309015272630533,0.0,3.5309015272630533,4.0,0.0,512.895,6062.079,41.0,0.08611954944544033,18.341934640522872,4118.812091503268,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari B,hikari-prod-20260701-122657,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,3.5299366706476425,3.5299366706476425,0.0,3.5299366706476425,4.0,0.0,544.255,7694.335000000001,41.0,0.08609601635725957,18.731120000000004,4125.7118,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari C,hikari-prod-20260701-135942,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,3.5321530642095365,3.5321530642095365,0.0,3.5292151749915366,4.0,0.0,566.7829999999999,7856.127,41.0,0.08615007473681796,20.17789181692094,4092.0526074895974,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari D,hikari-prod-20260701-153257,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,3.5334393612671713,3.5334393612671713,0.0,3.530500341026262,4.0,0.0,527.999,6432.767,41.0,0.08618144783578467,19.965181695827727,4128.670619111709,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari E,hikari-prod-20260701-170624,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,3.53046656917412,3.53046656917412,0.0,3.53046656917412,4.0,0.0,525.439,6891.519,41.0,0.0861089407115639,18.556291390728475,4135.210834437085,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
Hikari F,hikari-prod-20260701-183858,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,13.670957225991655,13.670957225991655,0.0,13.652947921616722,16.0,0.0,23543.807,77398.015,70.0,0.19529938894273793,106.12566160520609,11925.19147505423,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari G,hikari-prod-20260701-201254,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,13.617896536955701,13.670976662742746,0.05308012578704184,13.652967333211622,16.0,0.3882687374332663,29007.871,99614.719,73.0,0.18654652790350276,108.89519015659955,12606.58756152125,0.0,0.0,900.0,,,,,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari H,hikari-prod-20260701-214638,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,13.670947504954583,13.670947504954583,0.0,13.652938215853005,16.0,0.0,22798.335,71286.783,72.0,0.18987427090214698,104.3419603524229,11761.202378854627,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari I,hikari-prod-20260701-232009,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,13.742818900818516,13.742818900818516,0.0,13.725668335022732,16.0,0.0,13565.951000000001,47693.823,53.0,0.25929846982676447,98.04903353057199,9653.046548323473,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari J,hikari-prod-20260702-005333,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,13.670970183214475,13.670970183214475,0.0,13.652960862667722,16.0,0.0,18759.679,61358.079,67.0,0.20404433109275336,102.61241735537192,11003.861363636363,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
Hikari K,hikari-prod-20260702-022656,hikari-prod,W5_HTAP,HikariCP,8.0,32.0,runInfo.targetRps_per_node,12.505115475262086,28.27466040828355,15.769544933021468,27.302156167977692,32.0,55.772712034864234,88014.847,208076.799,87.0,0.1437369594857711,124.07276923076924,18765.109564102568,0.0,0.0,900.0,,,,,0.0,16637.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari L,hikari-prod-20260702-040104,hikari-prod,W5_HTAP,HikariCP,8.0,32.0,runInfo.targetRps_per_node,12.579045319661734,28.20640783813891,15.627362518477177,27.302149698326097,32.0,55.40358895087035,87719.935,210501.631,87.0,0.14458672781220383,126.63072164948454,19046.777809278352,0.0,0.0,900.0,,,,,0.0,16487.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari M,hikari-prod-20260702-053431,hikari-prod,W5_HTAP,HikariCP,8.0,32.0,runInfo.targetRps_per_node,13.555344304866384,28.250963918984787,14.695619614118405,27.30120830786668,32.0,52.018117765475594,86310.911,199884.799,87.0,0.15580855522834924,122.642575,18545.361350000003,0.0,0.0,900.0,,,,,0.0,15504.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari N,hikari-prod-20260702-070818,hikari-prod,W5_HTAP,HikariCP,8.0,32.0,runInfo.targetRps_per_node,12.854878825563407,28.28604143286117,15.431162607297765,27.302162637629287,32.0,54.553984317405,88276.99100000001,207224.831,87.0,0.14775722788003917,123.39783854166667,18478.565078125,0.0,0.0,900.0,,,,,0.0,16280.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari O,hikari-prod-20260702-084143,hikari-prod,W5_HTAP,HikariCP,8.0,32.0,runInfo.targetRps_per_node,12.58663737989588,28.273725953777724,15.687088573881846,27.302169107293146,32.0,55.48291930671494,89030.655,209780.735,87.0,0.14467399287236643,124.97736979166666,19083.146562500002,0.0,0.0,900.0,,,,,0.0,16550.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
Hikari P,hikari-prod-20260702-101524,hikari-prod,W5_HTAP,HikariCP,12.0,48.0,runInfo.targetRps_per_node,12.934490039298186,42.39111760944589,29.456627570147702,40.951319124137385,48.0,69.48773561702033,89849.855,199426.047,87.0,0.14867229930227802,144.6773641304348,19490.25364130435,0.0,0.0,900.0,,,,,0.0,31077.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari Q,hikari-prod-20260702-114922,hikari-prod,W5_HTAP,HikariCP,12.0,48.0,runInfo.targetRps_per_node,13.24633574449891,42.392065468677515,29.145729724178597,40.95131912415578,48.0,68.7527949199535,89096.19099999999,203948.03100000002,87.0,0.15225673269538978,140.98774798927613,19802.71262734584,0.0,0.0,900.0,,,,,0.0,30749.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari R,hikari-prod-20260702-132317,hikari-prod,W5_HTAP,HikariCP,12.0,48.0,runInfo.targetRps_per_node,12.5686221386375,42.39113770031507,29.82251556167757,40.95133853219373,48.0,70.35082619681148,90505.215,210173.951,88.0,0.14282525157542614,142.55195187165776,19624.4957486631,0.0,0.0,900.0,,,,,0.0,31463.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari S,hikari-prod-20260702-145657,hikari-prod,W5_HTAP,HikariCP,12.0,48.0,runInfo.targetRps_per_node,13.089944981374437,42.392085559527644,29.30214057815321,40.95133853219373,48.0,69.1217243538145,88997.887,208601.087,87.0,0.15045913771694755,139.2366842105263,19365.70797368421,0.0,0.0,900.0,,,,,0.0,30914.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari T,hikari-prod-20260702-163227,hikari-prod,W5_HTAP,HikariCP,12.0,48.0,runInfo.targetRps_per_node,13.128801376436535,42.392065468677515,29.263264092240973,40.95131912415578,48.0,69.03005097933995,87719.935,206372.863,87.0,0.15090576294754637,142.94875331564987,19979.6049602122,0.0,0.0,900.0,,,,,0.0,30873.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
OJP A,ojp-prod-20260701-115535,ojp-prod,W5_HTAP,OJP,1.0,4.0,runInfo.targetRps_per_node,3.529906356746405,3.5308859623376017,0.0009796055911968724,3.5308859623376017,4.0,0.02774694783573807,1629.183,5953.535,13.0,0.2715312582112619,23.18539697542533,3609.7710586011344,3.8103393939393935,612.5113878787879,900.0,76.86,130.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5
OJP B,ojp-prod-20260701-132858,ojp-prod,W5_HTAP,OJP,1.0,4.0,runInfo.targetRps_per_node,3.528061674941041,3.5310010071545697,0.002939332213528329,3.5310010071545697,4.0,0.0832408435072142,1455.615,6195.1990000000005,13.0,0.2713893596108493,22.372406367041197,3617.308520599251,3.847115151515152,612.3001272727272,900.0,74.62,130.0,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,5
OJP C,ojp-prod-20260701-150149,ojp-prod,W5_HTAP,OJP,1.0,4.0,runInfo.targetRps_per_node,3.5270836231181097,3.530022220156861,0.002938597038751584,3.530022220156861,4.0,0.0832408435072142,1921.0230000000001,6899.710999999999,13.0,0.2713141248552392,24.832032442748094,3657.004704198473,3.937901758641601,618.6880473013947,900.0,77.31,130.0,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3,5
