scenario,workload,technology,per_node_rps,aggregate_rps,repetition_count,metric_name,mean,median,stddev,min,max,ci95_low,ci95_high
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,attempted_rps,3.530204056620523,3.53046656917412,0.0006504891854811479,3.5292151749915366,3.5309015272630533,3.5293964971021783,3.5310116161388674
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,error_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,error_rps,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,offered_rps,4.0,4.0,0.0,4.0,4.0,4.0,4.0
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,p95_latency_ms,535.4741999999999,527.999,20.759019321730946,512.895,566.7829999999999,509.70260530028975,561.24579469971
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,p99_latency_ms,6987.365400000001,6891.519,779.017582063974,6062.079,7856.127,6020.242383360944,7954.4884166390575
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,postgres_backend_connections,41.0,41.0,0.0,41.0,41.0,41.0,41.0
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,postgres_cpu_pct_avg,19.154483908800003,18.731120000000004,0.8517485323769264,18.341934640522872,20.17789181692094,18.097067967213956,20.21189985038605
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,postgres_rss_mib,4120.091590508332,4125.7118,16.74514638569778,4092.0526074895974,4135.210834437085,4099.3030783367685,4140.880102679896
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,proxy_tier_cpu_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,proxy_tier_rss_mib,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,rps_per_db_connection,0.08613120581737328,0.08611954944544033,3.4460849458107356e-05,0.08609601635725957,0.08618144783578467,0.08608842388093024,0.08617398775381632
hikari-prod,W5_HTAP,HikariCP,1.0,4.0,5,successful_rps,3.5313794385123045,3.5309015272630533,0.0014128948277822497,3.5299366706476425,3.5334393612671713,3.5296253791181402,3.533133497906469
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,attempted_rps,13.667496533674361,13.652960862667722,0.03251902750854223,13.652938215853005,13.725668335022732,13.627125301103584,13.707867766245139
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,error_rate_pct,0.07765374748665325,0.0,0.17363905808776012,0.0,0.3882687374332663,-0.13791305553629618,0.29322055050960266
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,error_rps,0.010616025157408369,0.0,0.023738153902813017,0.0,0.05308012578704184,-0.01885406067955726,0.040086110994373994
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,offered_rps,16.0,16.0,0.0,16.0,16.0,16.0,16.0
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,p95_latency_ms,21535.128600000004,22798.335,5759.41121997004,13565.951000000001,29007.871,14385.021488983817,28685.23571101619
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,p99_latency_ms,71470.2838,71286.783,19331.694678306998,47693.823,99614.719,47470.66260468003,95469.90499531999
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,postgres_backend_connections,67.0,70.0,8.154753215150045,53.0,73.0,56.87615978000443,77.12384021999557
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,postgres_cpu_pct_avg,104.0048526000345,104.3419603524229,4.060096383986462,98.04903353057199,108.89519015659955,98.96438528179641,109.04531991827258
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,postgres_rss_mib,11389.97786547799,11761.202378854627,1125.8792956196905,9653.046548323473,12606.58756152125,9992.238192046905,12787.717538909073
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,proxy_tier_cpu_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,proxy_tier_rss_mib,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,rps_per_db_connection,0.2070125977335811,0.19529938894273793,0.029968335574587574,0.18654652790350276,0.25929846982676447,0.16980795977437446,0.24421723569278775
hikari-prod,W5_HTAP,HikariCP,4.0,16.0,5,successful_rps,13.674718070386987,13.670957225991655,0.04446576643736861,13.617896536955701,13.742818900818516,13.619515380275503,13.729920760498471
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,attempted_rps,27.301969183818578,27.302156167977692,0.0004254040872869655,27.30120830786668,27.302169107293146,27.301441059558407,27.30249730807875
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,error_rate_pct,54.646264475066026,55.40358895087035,1.5377001112520334,52.018117765475594,55.772712034864234,52.737263697008935,56.55526525312312
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,error_rps,15.442155649359332,15.627362518477177,0.4355784555701197,14.695619614118405,15.769544933021468,14.90140026766711,15.982911031051554
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,offered_rps,32.0,32.0,0.0,32.0,32.0,32.0,32.0
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,p95_latency_ms,87870.66780000001,88014.847,998.3759488385157,86310.911,89030.655,86631.21906147168,89110.11653852834
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,p99_latency_ms,207093.75900000002,208076.799,4236.333420109419,199884.799,210501.631,201834.49958009052,212353.01841990952
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,postgres_backend_connections,87.0,87.0,0.0,87.0,87.0,87.0,87.0
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,postgres_cpu_pct_avg,124.34425484271742,124.07276923076924,1.5406076347119584,122.642575,126.63072164948454,122.43164447621938,126.25686520921546
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,postgres_rss_mib,18783.792072801185,18765.109564102568,278.00016730170347,18478.565078125,19083.146562500002,18438.664611473992,19128.919534128378
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,proxy_tier_cpu_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,proxy_tier_rss_mib,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,rps_per_db_connection,0.14731269265574592,0.14467399287236643,0.0049889072199253235,0.1437369594857711,0.15580855522834924,0.14111913924776864,0.1535062460637232
hikari-prod,W5_HTAP,HikariCP,8.0,32.0,5,successful_rps,12.816204261049895,12.58663737989588,0.43403492813350286,12.505115475262086,13.555344304866384,12.277365114555872,13.355043407543919
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,attempted_rps,40.95132688736728,40.95131912415578,1.0630223540806962e-05,40.951319124137385,40.95133853219373,40.95131369031744,40.95134008441712
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,error_rate_pct,69.34862641338795,69.1217243538145,0.6188185915143636,68.7527949199535,70.35082619681148,68.5803848271171,70.1168679996588
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,error_rps,29.398055505279615,29.30214057815321,0.2620275387927393,29.145729724178597,29.82251556167757,29.07275750226364,29.723353508295588
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,offered_rps,48.0,48.0,0.0,48.0,48.0,48.0,48.0
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,p95_latency_ms,89233.81659999999,89096.19099999999,1044.3177536730852,87719.935,90505.215,87937.33272143832,90530.30047856166
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,p99_latency_ms,205704.3958,206372.863,4222.471816265352,199426.047,210173.951,200462.34507529045,210946.44652470955
