label,run_dir,scenario,workload,technology,per_node_rps,aggregate_rps,load_source,successful_rps,completed_rps,error_rps,attempted_rps,offered_rps,error_rate_pct,p95_latency_ms,p99_latency_ms,mean_failed_latency_ms,postgres_backend_connections,rps_per_db_connection,postgres_cpu_pct_avg,postgres_rss_mib,proxy_tier_cpu_pct,proxy_tier_rss_mib,duration_seconds,ojp_heap_used_mib,ojp_heap_committed_mib,ojp_heap_max_mib,ojp_heap_utilisation_percent,error_count_sqltransientexception,error_count_sqltransientconnectionexception,error_count_statusruntimeexception,error_count_sqlexception,error_count_timeout,error_count_connection_acquisition_failure,error_count_admission_control_failure,error_count_other,repetition,repetition_count
Hikari A,hikari-prod-20260714-173408,hikari-prod,W5_HTAP,HikariCP,1.0,16.0,runInfo.targetRps_per_node,15.435178556735575,15.435178556735575,0.0,15.418066388814397,16.0,0.0,6653.951,52740.095,,152.0,0.10154722734694457,132.14991279069767,20729.831046511626,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari B,hikari-prod-20260714-191540,hikari-prod,W5_HTAP,HikariCP,1.0,16.0,runInfo.targetRps_per_node,15.439051432810503,15.439051432810503,0.0,15.418728507558441,16.0,0.0,6600.7029999999995,50741.247,,151.0,0.10224537372722188,130.8356,20647.84862857143,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari C,hikari-prod-20260714-205512,hikari-prod,W5_HTAP,HikariCP,1.0,16.0,runInfo.targetRps_per_node,15.434103889534892,15.434103889534892,0.0,15.418061235754816,16.0,0.0,6367.231,50135.039,,151.0,0.10221260853996618,125.90632478632477,20687.88170940171,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari D,hikari-prod-20260714-223457,hikari-prod,W5_HTAP,HikariCP,1.0,16.0,runInfo.targetRps_per_node,15.435171336742169,15.435171336742169,0.0,15.418059174540245,16.0,0.0,6356.991,51118.079,,151.5,0.10188231905440376,127.63675362318841,20808.76849275363,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari E,hikari-prod-20260715-001402,hikari-prod,W5_HTAP,HikariCP,1.0,16.0,runInfo.targetRps_per_node,15.435179591923786,15.435179591923786,0.0,15.418067419427192,16.0,0.0,6379.519,51789.823000000004,,152.0,0.10154723415739333,129.55121037463977,20863.68570605187,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
Hikari F,hikari-prod-20260715-015329,hikari-prod,W5_HTAP,HikariCP,2.0,32.0,runInfo.targetRps_per_node,17.480089050056776,30.73988709129248,13.259798041235705,30.819030906675945,32.0,43.13548117737109,130220.03099999999,414973.951,30000.00095707073,311.0,0.056206074115938184,183.76261363636365,53823.206893939394,0.0,0.0,900.0,,,,,0.0,12398.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari G,hikari-prod-20260715-033223,hikari-prod,W5_HTAP,HikariCP,2.0,32.0,runInfo.targetRps_per_node,17.351747710005743,30.730261488043457,13.37851377803771,30.81903090667594,32.0,43.53530783419761,143196.15899999999,381550.591,29999.261492001846,311.0,0.05579340099680303,175.41855018587358,52908.162713754646,0.0,0.0,900.0,,,,,0.0,12509.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari H,hikari-prod-20260715-051117,hikari-prod,W5_HTAP,HikariCP,2.0,32.0,runInfo.targetRps_per_node,17.233028451276827,30.75164554829779,13.518617097020963,30.819024726430726,32.0,43.96063019511007,135856.12699999998,406061.05500000005,30000.081105773977,311.0,0.05541166704590619,185.64275092936805,54030.27193308551,0.0,0.0,900.0,,,,,0.0,12640.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari I,hikari-prod-20260715-065010,hikari-prod,W5_HTAP,HikariCP,2.0,32.0,runInfo.targetRps_per_node,17.301479673756738,30.758066717848436,13.456587044091702,30.819028846594204,32.0,43.749782676727285,144703.48700000002,373817.343,30000.27610434959,310.0,0.05581122475405399,178.50776515151517,52958.33090909092,0.0,0.0,900.0,,,,,0.0,12582.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari J,hikari-prod-20260715-082846,hikari-prod,W5_HTAP,HikariCP,2.0,32.0,runInfo.targetRps_per_node,23.769877123339064,30.647900940243666,6.8780238169046,30.81902266635339,32.0,22.442071468453378,55853.055,233766.911,30000.350788219872,288.0,0.08253429556714953,234.21841059602647,51289.44721854305,0.0,0.0,900.0,,,,,0.0,6431.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
