timestamp,pid,cpu_pct,host_cpu_pct,rss_mb,vsz_mb
2026-07-02T03:34:05Z,3877352,0.00,30.43,2947.17,139388.23
2026-07-02T03:34:07Z,3877352,1.34,92.77,3188.17,371743.64
2026-07-02T03:34:08Z,3877352,0.00,72.07,3239.77,418215.45
2026-07-02T03:34:10Z,3877352,87.21,185.44,3558.52,418362.49
2026-07-02T03:34:11Z,3877352,18.25,83.80,3540.61,418342.50
2026-07-02T03:34:13Z,3877352,0.66,86.33,3540.94,418342.50
2026-07-02T03:34:14Z,3877352,4.02,91.43,3569.75,418357.93
2026-07-02T03:34:16Z,3877352,108.07,389.09,5950.85,512199.70
2026-07-02T03:34:18Z,3877352,74.04,198.72,4144.52,418520.96
2026-07-02T03:34:20Z,3877352,148.16,241.26,4275.16,418538.74
2026-07-02T03:34:21Z,3877352,13.20,77.89,4210.14,418471.54
2026-07-02T03:34:23Z,3877352,0.00,81.88,4211.02,418471.54
2026-07-02T03:34:24Z,3877352,1.30,88.09,4211.39,418471.54
2026-07-02T03:34:27Z,3877352,50.18,346.78,4448.39,418519.05
2026-07-02T03:34:28Z,3877352,12.99,98.20,4415.54,418483.41
2026-07-02T03:34:30Z,3877352,1.96,87.73,4416.16,418483.41
2026-07-02T03:34:31Z,3877352,1.34,69.68,4416.30,418483.41
2026-07-02T03:34:33Z,3877352,37.60,135.22,4450.93,418519.86
2026-07-02T03:34:34Z,3877352,62.72,126.73,4410.10,418473.84
2026-07-02T03:34:36Z,3877352,0.66,81.47,4411.61,418473.84
2026-07-02T03:34:37Z,3877352,36.86,108.72,4459.08,418521.07
2026-07-02T03:34:39Z,3877352,60.69,139.19,4436.29,418495.13
2026-07-02T03:34:40Z,3877352,20.28,188.46,4499.35,418531.11
2026-07-02T03:34:42Z,3877352,69.08,358.73,4679.66,418496.33
2026-07-02T03:34:44Z,3877352,168.59,283.78,4913.82,418685.91
2026-07-02T03:34:46Z,3877352,86.33,397.91,5118.80,418621.34
2026-07-02T03:34:47Z,3877352,22.36,116.81,5118.97,418621.09
2026-07-02T03:34:49Z,3877352,0.00,82.43,5119.31,418621.09
2026-07-02T03:34:50Z,3877352,1.33,85.86,5119.70,418621.09
2026-07-02T03:34:52Z,3877352,0.68,67.58,5120.13,418621.09
2026-07-02T03:34:53Z,3877352,102.06,218.44,5208.38,418707.73
2026-07-02T03:34:56Z,3877352,110.78,399.53,6867.68,512318.88
2026-07-02T03:34:57Z,3877352,65.24,178.53,5367.36,418627.52
2026-07-02T03:34:59Z,3877352,121.45,231.03,5482.29,418704.73
2026-07-02T03:35:01Z,3877352,102.34,397.31,6820.62,488879.38
2026-07-02T03:35:02Z,3877352,6.61,78.28,5480.75,418635.58
2026-07-02T03:35:04Z,3877352,1.33,69.24,5481.36,418635.58
2026-07-02T03:35:05Z,3877352,0.67,84.89,5481.66,418635.58
2026-07-02T03:35:07Z,3877352,33.67,195.62,5482.02,418635.58
2026-07-02T03:35:08Z,3877352,0.68,68.49,5482.61,418635.58
2026-07-02T03:35:10Z,3877352,0.68,82.74,5483.02,418635.58
2026-07-02T03:35:11Z,3877352,0.00,66.44,5483.17,418635.58
2026-07-02T03:35:13Z,3877352,69.80,154.62,5575.07,418787.90
2026-07-02T03:35:14Z,3877352,79.66,148.85,5591.12,418795.41
2026-07-02T03:35:15Z,3877352,38.76,120.62,5558.23,418761.48
2026-07-02T03:35:17Z,3877352,19.49,169.42,5608.52,418796.86
2026-07-02T03:35:19Z,3877352,69.73,390.91,5810.45,418796.86
2026-07-02T03:35:20Z,3877352,4.15,79.86,5777.08,418761.48
2026-07-02T03:35:22Z,3877352,0.67,83.08,5777.26,418761.48
2026-07-02T03:35:23Z,3877352,0.69,66.32,5777.53,418761.48
2026-07-02T03:35:25Z,3877352,0.00,66.44,5777.82,418761.48
2026-07-02T03:35:26Z,3877352,2.06,79.86,5778.09,418761.48
2026-07-02T03:35:28Z,3877352,3.45,92.57,5778.47,418761.49
2026-07-02T03:35:29Z,3877352,100.92,168.60,5783.33,418742.11
2026-07-02T03:35:31Z,3877352,62.66,274.72,6842.63,512444.94
2026-07-02T03:35:33Z,3877352,116.67,386.74,5952.59,418819.75
2026-07-02T03:35:35Z,3877352,105.54,186.79,5962.56,418832.23
2026-07-02T03:35:36Z,3877352,108.05,312.10,7335.02,512413.10
2026-07-02T03:35:38Z,3877352,51.17,263.93,5987.82,418762.28
2026-07-02T03:35:39Z,3877352,0.69,66.09,5988.32,418762.28
2026-07-02T03:35:41Z,3877352,0.00,113.65,5988.68,418762.54
2026-07-02T03:35:42Z,3877352,32.40,152.96,5989.00,418762.28
2026-07-02T03:35:44Z,3877352,2.07,81.52,5989.35,418762.28
2026-07-02T03:35:45Z,3877352,25.97,99.83,6015.62,418791.38
2026-07-02T03:35:47Z,3877352,132.79,216.47,6039.45,418806.38
2026-07-02T03:35:48Z,3877352,39.93,118.62,6006.30,418772.44
2026-07-02T03:35:50Z,3877352,26.76,225.84,7349.92,512429.28
2026-07-02T03:35:52Z,3877352,92.50,365.78,6133.21,418808.40
2026-07-02T03:35:53Z,3877352,166.80,257.38,6161.92,418820.56
2026-07-02T03:35:55Z,3877352,50.20,315.69,6133.39,418772.62
2026-07-02T03:35:57Z,3877352,25.72,187.76,6133.70,418772.62
2026-07-02T03:35:59Z,3877352,1.29,89.32,6133.89,418772.62
2026-07-02T03:36:00Z,3877352,34.68,116.40,6153.67,418799.38
